City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Bereda,ES,43.27,-7.54,48.0,100,100,3.0,overcast clouds
260,Liepaja,LV,56.54,21.04,33.8,84,99,1.12,overcast clouds
261,Tofield,CA,53.37,-112.67,17.6,85,100,8.05,overcast clouds
262,Akureyri,IS,65.68,-18.09,28.4,86,75,2.24,broken clouds
263,Barao De Melgaco,BR,-16.19,-55.97,98.6,30,40,8.05,scattered clouds
264,Churapcha,RU,62.0,132.43,-28.25,85,95,0.34,overcast clouds
265,Tabat,ID,-2.63,115.23,72.82,97,99,0.38,overcast clouds
266,Portobelo,PA,9.55,-79.65,81.0,99,99,5.73,overcast clouds
267,Mukhen,RU,48.1,136.1,11.34,91,100,9.08,overcast clouds
268,Rokytne,UA,51.28,27.21,29.12,98,98,7.05,overcast clouds
269,Shache,CN,38.42,77.24,20.16,90,0,2.77,clear sky
270,Usinsk,RU,65.99,57.53,14.14,94,100,20.33,overcast clouds
271,Marquette,US,46.53,-87.63,39.0,79,100,1.01,overcast clouds
272,Kavieng,PG,-2.57,150.8,80.56,78,100,19.06,light rain
273,Yazykovo,RU,55.22,56.14,18.68,98,96,4.45,overcast clouds
274,Benguela,AO,-12.58,13.41,79.12,76,100,8.14,overcast clouds
275,Komsomolskiy,UZ,40.43,71.72,30.2,86,0,4.7,mist
276,Kanye,BW,-24.97,25.33,73.17,47,8,4.38,clear sky
277,Bathsheba,BB,13.22,-59.52,84.2,74,20,18.34,few clouds
278,Casper,US,42.87,-106.31,39.99,37,1,10.29,clear sky
279,Kloulklubed,PW,7.04,134.26,80.6,83,75,3.36,broken clouds
280,Morros,BR,-9.45,-46.3,85.87,49,60,4.5,broken clouds
281,Boo,SE,59.33,18.28,33.01,87,90,2.24,overcast clouds
282,Micheweni,TZ,-4.97,39.83,81.01,77,93,6.17,overcast clouds
283,Alice Springs,AU,-23.7,133.88,80.6,30,13,8.05,few clouds
284,Klyuchi,RU,52.27,79.17,14.4,94,0,6.11,clear sky
285,Asau,RO,46.43,26.4,34.0,93,75,3.36,broken clouds
286,Haikou,CN,20.05,110.34,68.0,72,40,13.42,scattered clouds
287,Gongzhuling,CN,43.5,124.82,6.17,93,0,8.55,clear sky
288,Sur,OM,22.57,59.53,69.82,63,0,4.47,clear sky
289,Isla Vista,US,34.41,-119.86,70.0,37,0,4.54,clear sky
290,Honiara,SB,-9.43,159.95,71.6,94,75,4.7,broken clouds
291,Kurilsk,RU,45.23,147.88,32.43,90,99,15.05,overcast clouds
292,Bethel,US,41.37,-73.41,53.01,32,1,4.7,clear sky
293,Voh,NC,-20.97,164.7,75.61,62,0,4.16,clear sky
294,Chuy,UY,-33.7,-53.46,79.05,60,5,8.63,clear sky
295,Luderitz,NA,-26.65,15.16,59.0,87,0,17.22,clear sky
296,Cabo San Lucas,MX,22.89,-109.91,82.99,64,5,3.36,clear sky
297,Sinop,TR,41.77,34.87,45.52,49,74,7.16,broken clouds
298,Pital,CO,2.27,-75.8,83.03,52,79,3.53,light rain
299,Saldanha,ZA,-33.01,17.94,60.8,77,0,11.41,clear sky
300,Gold Coast,AU,-28.0,153.43,73.0,78,100,12.75,light rain
301,Qurayyat,SA,31.33,37.34,51.8,71,0,4.7,clear sky
302,Sapa,PH,5.15,120.32,80.4,78,100,1.86,heavy intensity rain
303,Souillac,MU,-20.52,57.52,75.2,83,40,6.93,scattered clouds
304,Dali,CN,25.7,100.18,44.02,75,0,0.87,clear sky
305,Ucluelet,CA,48.93,-125.55,45.0,93,90,8.05,mist
306,Saint-Joseph,RE,-21.37,55.62,73.4,78,0,4.7,clear sky
307,Berlevag,NO,70.86,29.09,32.0,88,0,31.09,clear sky
308,Villa Maria,AR,-32.41,-63.24,74.39,69,100,18.21,overcast clouds
309,Chicama,PE,-7.84,-79.15,68.0,77,40,14.99,mist
310,Balsas,BR,-7.53,-46.04,88.63,45,93,3.76,overcast clouds
311,Muros,ES,42.78,-9.06,52.0,89,89,8.37,overcast clouds
312,Coyah,GN,9.75,-13.42,78.15,79,100,3.29,overcast clouds
313,Hamilton,US,39.18,-84.53,54.0,46,1,4.7,clear sky
314,Lauria,IT,40.05,15.84,52.0,87,100,7.74,overcast clouds
315,Nishihara,JP,26.18,127.76,68.0,52,40,8.05,scattered clouds
316,Coquimbo,CL,-29.95,-71.34,64.4,68,0,14.99,clear sky
317,Aljezur,PT,37.32,-8.8,52.0,92,82,1.99,broken clouds
318,Zhigansk,RU,66.77,123.37,-2.29,92,100,11.12,overcast clouds
319,Adrar,MR,20.5,-10.07,70.75,25,100,5.44,overcast clouds
320,Belmonte,BR,-15.86,-38.88,84.2,66,75,4.7,broken clouds
321,Lorengau,PG,-2.02,147.27,81.82,79,100,4.94,moderate rain
322,Praia,CV,14.92,-23.51,73.4,69,75,13.87,broken clouds
323,La Ronge,CA,55.1,-105.28,26.6,63,0,3.36,clear sky
324,Meiganga,CM,6.52,14.3,72.48,32,100,7.11,overcast clouds
325,Mount Gambier,AU,-37.83,140.77,46.4,100,97,5.82,overcast clouds
326,Melbu,NO,68.5,14.83,44.6,87,75,21.92,shower rain
327,Puri,IN,19.8,85.85,66.2,82,5,5.86,mist
328,Tomatlan,MX,19.93,-105.25,87.46,57,13,8.34,few clouds
329,Massaguet,TD,12.48,15.44,75.74,31,50,8.79,scattered clouds
330,Vanimo,PG,-2.67,141.3,78.24,87,100,7.4,moderate rain
331,Caninde,BR,-4.36,-39.31,94.62,24,4,6.42,clear sky
332,Newport,GB,51.59,-3.0,44.01,98,0,1.92,clear sky
333,Jacmel,HT,18.23,-72.53,89.6,46,20,6.93,few clouds
334,Killeen,US,31.12,-97.73,51.8,76,90,16.11,overcast clouds
335,Kolpny,RU,52.23,37.04,40.6,88,100,14.81,light rain
336,Glenwood Springs,US,39.55,-107.32,42.01,32,1,2.89,clear sky
337,Puerto Escondido,MX,15.85,-97.07,84.2,66,40,5.82,scattered clouds
338,Beloha,MG,-25.17,45.05,72.1,97,16,6.38,few clouds
339,College,US,64.86,-147.8,10.99,76,40,3.36,scattered clouds
340,Pacific Grove,US,36.62,-121.92,61.0,35,1,8.39,clear sky
341,Odweyne,SO,9.41,45.06,71.22,66,0,5.48,clear sky
342,Gladstone,AU,-23.85,151.25,69.8,77,40,1.12,scattered clouds
343,Kerman,IR,30.28,57.08,57.2,19,75,6.93,broken clouds
344,Ramgarh,IN,23.63,85.52,57.2,82,0,3.62,haze
345,Mayya,RU,61.73,130.28,-32.8,73,100,4.47,mist
346,Port Blair,IN,11.67,92.75,80.62,79,0,14.0,clear sky
347,Tukrah,LY,32.53,20.58,60.94,64,0,10.22,clear sky
348,Bichena,ET,10.45,38.2,58.08,68,49,3.6,scattered clouds
349,Nizwa,OM,22.93,57.53,58.66,68,0,0.47,clear sky
350,Christchurch,NZ,-43.53,172.63,57.99,82,100,14.99,overcast clouds
351,Kavaratti,IN,10.57,72.64,82.24,68,0,1.97,clear sky
352,Russell,US,32.35,-85.2,59.0,93,90,9.17,moderate rain
353,Havoysund,NO,71.0,24.66,41.0,74,20,25.28,moderate rain
354,Fortuna,US,40.6,-124.16,55.0,81,49,1.01,scattered clouds
355,Aklavik,CA,68.22,-135.01,-2.2,84,100,4.7,overcast clouds
356,Strezhevoy,RU,60.73,77.59,-4.0,83,75,5.48,broken clouds
357,Pleshanovo,RU,52.83,53.48,15.87,96,37,5.01,scattered clouds
358,Birao,CF,10.28,22.79,73.18,26,0,4.9,clear sky
359,Khuzhir,RU,53.19,107.34,17.15,87,98,10.6,overcast clouds
360,Ust-Nera,RU,64.57,143.2,-17.07,79,54,3.2,broken clouds
361,Mareeba,AU,-17.0,145.43,75.2,88,40,4.7,scattered clouds
